,value,total_points
1677,39,0
1678,39,0
1679,39,0
1680,39,0
1681,39,0
1682,39,0
1683,39,0
1684,39,0
1685,39,0
1686,39,0
1687,39,0
1688,39,0
1689,45,0
1690,45,0
1691,45,0
1692,45,0
1693,45,0
1694,45,0
1695,45,0
1696,45,0
1697,45,0
1698,45,0
1699,45,0
1700,45,0
1701,45,0
1702,45,0
1703,45,0
1704,45,0
1705,45,0
1706,45,0
1707,45,0
1708,45,0
1709,45,0
1710,45,0
1711,45,0
1712,45,0
1713,50,8
1714,50,1
1715,50,10
1716,50,2
1717,50,3
1718,51,1
1719,51,2
1720,51,2
1721,51,6
1722,51,1
1723,50,1
1724,50,4
1725,50,0
1726,50,2
1727,50,6
1728,50,1
1729,49,1
1730,49,1
1731,49,2
1732,49,2
1733,48,1
1734,48,2
1735,48,2
1736,48,2
1737,48,6
1738,48,1
1739,48,1
1740,48,2
1741,48,2
1742,48,6
1743,48,2
1744,48,3
1745,48,4
1746,48,9
1747,48,3
1748,48,6
1749,48,8
1750,48,0
1751,50,0
1752,50,0
1753,49,0
1754,49,0
1755,49,0
1756,48,0
1757,48,0
1758,48,0
1759,48,0
1760,48,0
1761,48,0
1762,48,0
1763,48,1
1764,48,2
1765,48,2
1766,48,1
1767,48,0
1768,48,6
1769,48,6
1770,48,1
1771,48,6
1772,48,2
1773,48,0
1774,48,1
1775,48,0
1776,48,0
1777,48,0
1778,48,1
1779,48,8
1780,48,1
1781,48,1
1782,48,6
1783,48,0
1784,48,0
1785,48,0
1786,48,0
1787,48,0
1788,48,0
1789,50,0
1790,50,0
1791,49,0
1792,49,0
1793,48,0
1794,48,0
1795,47,0
1796,47,1
1797,47,0
1798,47,2
1799,47,2
1800,47,1
1801,47,6
1802,47,3
1803,47,9
1804,47,3
1805,47,1
1806,47,0
1807,47,1
1808,47,11
1809,47,4
1810,47,3
1811,47,3
1812,47,1
1813,47,3
1814,47,0
1815,47,0
1816,47,0
1817,47,0
1818,47,1
1819,47,1
1820,47,1
1821,47,1
1822,47,0
1823,47,1
1824,46,0
1825,46,0
1826,46,0
1827,55,1
1828,55,0
1829,54,0
1830,53,1
1831,53,1
1832,52,1
1833,52,0
1834,51,0
1835,51,0
1836,51,0
1837,51,0
1838,51,0
1839,50,0
1840,50,0
1841,50,0
1842,50,0
1843,50,0
1844,50,0
1845,50,0
1846,50,0
1847,50,0
1848,50,0
1849,50,0
1850,50,0
1851,50,0
1852,50,0
1853,50,1
1854,50,0
1855,50,1
1856,50,0
1857,50,1
1858,50,0
1859,50,0
1860,50,0
1861,50,1
1862,50,0
1863,50,0
1864,50,0
1865,45,0
1866,45,3
1867,45,6
1868,45,0
1869,45,0
1870,45,0
1871,45,0
1872,45,0
1873,44,0
1874,44,0
1875,44,0
1876,44,0
1877,43,0
1878,43,0
1879,43,0
1880,43,0
1881,43,0
1882,43,0
1883,43,0
1884,43,8
1885,43,0
1886,43,0
1887,43,0
1888,43,0
1889,43,0
1890,42,0
1891,42,0
1892,42,0
1893,42,0
1894,42,0
1895,42,0
1896,42,1
1897,42,2
1898,42,9
1899,42,1
1900,42,2
1901,42,1
1902,42,3
1903,70,0
1904,69,0
1905,68,4
1906,68,1
1907,68,6
1908,68,6
1909,69,2
1910,69,2
1911,69,2
1912,69,2
1913,69,0
1914,68,2
1915,68,2
1916,67,1
1917,66,1
1918,66,0
1919,65,1
1920,65,0
1921,64,1
1922,64,4
1923,64,0
1924,64,4
1925,64,2
1926,64,2
1927,64,1
1928,64,0
1929,64,2
1930,64,2
1931,65,2
1932,65,5
1933,65,8
1934,66,1
1935,66,2
1936,66,5
1937,66,1
1938,65,1
1939,65,1
1940,64,0
1941,45,0
1942,45,0
1943,45,0
1944,45,0
1945,45,0
1946,45,0
1947,45,0
1948,45,0
1949,45,0
1950,45,0
1951,45,0
1952,45,0
1953,45,0
1954,45,0
